sample_idx,tier_used,prediction,gold_label,correct,confidence,latency_ms,bytes_sent
0,1,0,0,True,0.9795123338699341,1.3740270001108001,67
1,1,0,0,True,0.9908605813980103,1.1015640000096028,45
2,1,0,0,True,0.9647862315177917,0.8901219998733723,45
3,1,0,0,True,0.9857944250106812,0.6637809999574529,56
4,1,0,0,True,0.9504032731056213,0.5907610000122077,40
5,1,0,0,True,0.9446990489959717,0.6233980000160955,57
6,1,0,0,True,0.9341526627540588,0.6252170001062041,57
7,1,0,0,True,0.9844986796379089,0.6170100000417733,61
8,1,0,0,True,0.9732513427734375,0.6352249999963533,66
9,1,0,0,True,0.6994503736495972,0.6069099999876926,84
10,1,0,0,True,0.9900422096252441,0.5972100000235514,54
11,1,0,0,True,0.999640703201294,0.6071309999242658,35
12,1,0,0,True,0.9553412795066833,0.5932399999437621,54
13,1,0,0,True,0.954947829246521,0.6613089999518706,67
14,1,0,0,True,0.9014216065406799,0.6061750000299071,72
15,1,0,0,True,0.8638902902603149,0.57046500000979,63
16,1,0,0,True,0.7256543040275574,0.6350159999328753,76
17,1,0,0,True,0.9655148983001709,0.5749179999838816,48
18,1,0,0,True,0.9504045844078064,0.5979520001346827,65
19,1,0,0,True,0.9645763039588928,0.6946419998712372,49
20,1,0,0,True,0.8337666988372803,0.8397049998620787,66
21,1,0,0,True,0.9751269817352295,0.5974460000288673,47
22,1,0,0,True,0.9137310981750488,0.7708140001341235,63
23,1,0,0,True,0.9723140001296997,0.8124729999963165,47
24,1,0,0,True,0.8932243585586548,0.7923919999939244,53
25,1,0,0,True,0.9976316690444946,0.763414999937595,43
26,1,0,0,True,0.9637753367424011,0.7982280001215258,47
27,1,0,0,True,0.9970135688781738,0.848805000032371,38
28,1,0,0,True,0.9470668435096741,0.7149079999635433,67
29,1,0,0,True,0.989284098148346,0.5669750000834028,64
30,1,0,0,True,0.969312846660614,0.6242259998998634,82
31,1,0,0,True,0.9659316539764404,0.5985309999232413,46
32,1,0,0,True,0.9816489219665527,0.5712459999358543,50
33,1,0,0,True,0.9918797612190247,0.6137390000731102,43
34,1,0,0,True,0.9828267097473145,0.5829230001381802,65
35,1,0,0,True,0.9967101812362671,0.6205950001003657,35
36,1,0,0,True,0.9709157347679138,0.5940260000443232,36
37,1,0,0,True,0.9834942817687988,0.5723499998566695,41
38,1,0,0,True,0.961526095867157,0.6056980000721524,77
39,1,0,0,True,0.9796760082244873,0.5490500000178145,39
40,1,0,0,True,0.9291881918907166,0.5981809999866528,69
41,1,0,0,True,0.9684804677963257,0.5725889998302591,27
42,1,0,0,True,0.997552216053009,0.5592289999185596,44
43,1,0,0,True,0.9953946471214294,0.5809140000110347,51
44,1,0,0,True,0.9737679958343506,0.5764300001374068,57
45,1,0,0,True,0.9759257435798645,0.5855720000909059,53
46,1,0,0,True,0.9953115582466125,0.5698649999885674,51
47,1,0,0,True,0.944866955280304,0.6176649999360961,72
48,1,0,0,True,0.6415796875953674,0.5847919999268925,40
49,1,0,0,True,0.9899381399154663,0.5650759999298316,65
50,1,0,0,True,0.9063705801963806,0.594271999943885,83
51,1,0,0,True,0.9975298047065735,0.5495730001712218,37
52,1,0,0,True,0.9927420616149902,0.6175660000735661,50
53,1,0,0,True,0.9842618703842163,0.5801890001748689,44
54,1,0,0,True,0.7936732172966003,0.5506299999069597,52
55,1,0,0,True,0.9769256114959717,0.5786080000689253,53
56,1,0,0,True,0.9813967943191528,0.5484370001340722,40
57,1,0,0,True,0.6652969121932983,0.591034999843032,93
58,1,0,0,True,0.9186328649520874,0.5469079999329551,46
59,1,0,0,True,0.8687813878059387,0.575559999788311,42
60,1,0,0,True,0.9671364426612854,0.5958639999334991,49
61,1,0,0,True,0.9729858636856079,0.5532299999231327,53
62,1,0,0,True,0.9314594268798828,0.5791779999526625,59
63,1,0,0,True,0.9954196214675903,0.54304500008584,51
64,1,0,0,True,0.9976181387901306,0.5742670000472572,42
65,1,0,0,True,0.9933069348335266,0.5484160001287819,39
66,1,0,0,True,0.9924589991569519,0.5767979998836381,46
67,1,0,0,True,0.9515122771263123,0.5747560001054808,47
68,1,0,0,True,0.7856663465499878,0.5677290000676294,109
69,1,0,0,True,0.9944530129432678,0.5859620000592258,56
70,1,0,0,True,0.9808501601219177,0.5610109999452106,44
71,1,0,0,True,0.9994590878486633,0.5818970000746049,47
72,1,0,0,True,0.9772959351539612,0.5517360000339977,66
73,1,0,0,True,0.977940022945404,0.5841879999479715,65
74,1,0,0,True,0.935432493686676,0.5798170000161917,66
75,1,0,0,True,0.9668790698051453,0.5438759999378817,27
76,1,0,0,True,0.9855741858482361,0.5822650000482099,43
77,1,0,0,True,0.9999818801879883,0.5436199999167002,37
78,1,0,0,True,0.9953052997589111,0.5768360001638939,45
79,1,0,0,True,0.961927056312561,0.5465639999329142,44
80,1,0,0,True,0.9867653250694275,0.5834969999796158,59
81,1,0,0,True,0.9100911617279053,0.5794250000690226,46
82,1,0,0,True,0.9961015582084656,0.5469430000175635,47
83,1,0,0,True,0.9471416473388672,0.5898920001072838,68
84,1,0,0,True,0.9918749928474426,0.5433769999854121,47
85,1,0,0,True,0.9735013842582703,0.603834999992614,65
86,1,0,0,True,0.9997978806495667,0.5742359999203472,45
87,1,0,0,True,0.9628773927688599,0.5599920000349812,70
88,1,0,0,True,0.9967411160469055,0.5829369999901246,37
89,1,0,0,True,0.9715258479118347,0.5597560000296653,43
90,1,0,0,True,0.9979423880577087,0.5915820001973771,56
91,1,0,0,True,0.9900339245796204,0.5449269999644457,39
92,1,0,0,True,0.9925529360771179,0.6044990000191319,52
93,1,0,0,True,0.7365063428878784,0.5781309998837969,44
94,1,0,0,True,0.9845641851425171,0.5614799999875686,28
95,1,0,0,True,0.9747673869132996,0.6212659998254821,55
96,1,0,0,True,0.9922122359275818,0.5588480000824347,41
97,1,0,0,True,0.98854660987854,0.5935769997904572,56
98,1,0,0,True,0.9784224033355713,0.5728789999466244,47
99,1,0,0,True,0.997191846370697,0.5517509998753667,39
100,1,1,1,True,0.9986655712127686,0.5933089998961805,38
101,1,1,1,True,0.9893593192100525,0.549957999965045,51
